Rk,Name,S,C,F,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,Name-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
260,Denny Neagle,-,-,F,3,2001,2003,0,19,23,.452,5.57,72,65,0,1,0,0,370.1,409,239,229,67,135,8,271,18,1,7,1645,91,neaglde01
261,Blaine Neal,-,-,F,1,2005,2005,0,1,2,.333,6.14,11,0,3,0,0,0,14.2,20,10,10,2,9,2,8,0,0,1,70,80,nealbl01
262,Pat Neshek,-,-,-,1,2017,2017,0,2,1,.667,2.45,28,0,2,0,0,0,22.0,20,8,6,1,1,0,24,0,0,0,87,208,neshepa01
263,Josh Newman,S,-,-,2,2007,2008,0,0,0,,8.44,10,0,5,0,0,0,10.2,17,10,10,3,6,1,9,2,1,1,57,59,newmajo01
264,Juan Nicasio,S,-,-,4,2011,2014,0,21,22,.488,5.03,88,69,7,0,0,0,381.0,420,228,213,51,135,12,294,8,3,14,1668,89,nicasju01
265,Chris Nichting,-,-,F,2,2001,2002,0,1,1,.500,4.46,36,0,5,0,0,0,42.1,49,21,21,9,5,0,32,1,0,1,178,110,nichtch01
266,David Nied,-,-,F,4,1993,1996,0,14,18,.438,5.47,46,39,3,3,1,0,218.2,252,141,133,26,100,9,127,5,3,8,988,90,niedda01
267,Vladimir Núñez,-,-,-,1,2004,2004,0,3,3,.500,7.01,22,0,6,0,0,0,25.2,26,22,20,6,14,0,22,1,0,4,114,71,nunezvl01
268,Scott Oberg,S,C,F,5,2015,2019,0,18,8,.692,3.85,259,0,57,0,0,7,257.1,238,120,110,26,101,8,234,12,1,18,1088,127,obergsc01
269,Seunghwan Oh,-,-,F,2,2018,2019,0,5,1,.833,5.67,46,0,8,0,0,1,39.2,44,26,25,9,13,0,40,1,0,4,173,88,ohse01
270,Omar Olivares,-,-,-,1,1995,1995,0,1,3,.250,7.39,11,6,1,0,0,0,31.2,44,28,26,4,21,0,15,2,0,4,151,73,olivaom01
271,Darren Oliver,-,-,-,1,2003,2003,0,13,11,.542,5.04,33,32,0,1,0,0,180.1,201,108,101,21,61,3,88,8,0,0,786,99,oliveda02
272,Ramón Ortiz,-,-,-,1,2007,2007,0,1,0,1.000,7.62,10,0,4,0,0,0,13.0,15,11,11,4,7,0,7,1,0,0,59,64,ortizra02
273,Roy Oswalt,-,-,F,1,2013,2013,0,0,6,.000,8.63,9,6,0,0,0,0,32.1,49,31,31,3,9,0,34,1,0,1,151,52,oswalro01
274,Adam Ottavino,-,-,-,7,2012,2018,0,17,18,.486,3.41,361,0,78,0,0,17,390.2,326,159,148,36,165,20,452,20,1,40,1640,136,ottavad01
275,Josh Outman,-,-,-,2,2012,2013,0,4,3,.571,5.99,88,7,11,0,0,0,94.2,103,64,63,10,43,2,93,3,0,7,423,76,outmajo01
276,Lance Painter,S,-,-,4,1993,1996,0,13,10,.565,5.65,92,22,14,1,0,1,208.2,254,137,131,35,70,5,141,6,2,10,934,90,paintla01
277,Jeff Parrett,-,-,-,1,1993,1993,0,3,3,.500,5.38,40,6,13,0,0,1,73.2,78,47,44,6,45,9,66,2,1,11,341,89,parreje01
278,Wes Parsons,-,-,-,1,2019,2019,0,0,0,,6.98,15,0,2,0,0,0,19.1,21,17,15,4,16,2,14,1,0,2,93,75,parsowe01
279,Felipe Paulino,-,-,-,1,2011,2011,0,0,4,.000,7.36,18,0,8,0,0,0,14.2,23,12,12,3,7,0,14,0,0,1,68,63,paulife01
280,James Pazos,-,-,F,2,2019,2020,0,0,0,,6.89,18,0,3,0,0,0,15.2,17,12,12,4,9,1,11,0,0,0,68,77,pazosja01
281,Joel Peralta,-,-,-,1,2009,2009,0,0,3,.000,6.20,27,0,6,0,0,0,24.2,27,17,17,3,12,2,22,3,0,0,113,77,peraljo01
282,Luis Peralta,S,C,F,1,2024,2024,0,0,0,,0.00,11,0,1,0,0,0,9.1,4,0,0,0,5,0,9,0,0,0,35,,perallu01
283,Riley Pint,S,C,F,2,2023,2024,0,0,0,,22.09,5,0,1,0,0,0,3.2,6,9,9,2,8,0,7,2,0,4,27,25,pintri01
284,Drew Pomeranz,S,-,-,3,2011,2013,0,4,14,.222,5.20,34,30,0,0,0,0,136.2,141,83,79,18,70,3,115,6,1,9,616,89,pomerdr01
285,Mike Porzio,S,-,-,1,1999,1999,0,0,0,,8.59,16,0,3,0,0,0,14.2,21,14,14,5,10,0,10,0,0,0,75,69,porzimi01
286,Brooks Pounders,-,-,-,1,2018,2018,0,0,1,.000,7.63,14,0,11,0,0,0,15.1,25,13,13,3,2,0,17,2,0,1,72,63,poundbr01
287,Jay Powell,-,-,-,1,2001,2001,0,3,1,.750,2.79,39,0,15,0,0,7,38.2,34,18,12,5,12,3,26,2,0,0,157,192,powelja04
288,Zach Putnam,-,-,-,1,2012,2012,0,0,0,,0.00,2,0,0,0,0,0,2.0,3,0,0,0,1,0,0,0,0,0,9,,putnaza01
289,Chad Qualls,-,-,F,2,2016,2017,0,3,1,.750,5.29,63,0,23,0,0,0,49.1,60,33,29,8,14,1,33,0,0,1,224,94,quallch01
290,Cal Quantrill,-,-,F,1,2024,2024,0,8,10,.444,4.68,27,27,0,0,0,0,140.1,143,74,73,20,63,0,105,11,1,6,614,98,quantca01
291,Ramón Ramírez,S,-,-,2,2006,2007,0,6,5,.545,4.45,83,0,19,0,0,0,85.0,79,44,42,7,33,5,76,2,0,4,363,110,ramirra02
292,Roberto Ramírez,-,-,F,1,1999,1999,0,1,5,.167,8.26,32,4,6,0,0,1,40.1,68,42,37,8,22,2,32,0,0,4,209,71,ramirro01
293,AJ Ramos,-,-,-,1,2020,2020,0,0,0,,3.38,3,0,0,0,0,0,2.2,4,1,1,1,3,0,1,0,0,0,15,170,ramosaj01
294,Fred Rath,S,C,F,1,1998,1998,0,0,0,,1.69,2,0,1,0,0,0,5.1,6,1,1,0,2,0,2,0,0,0,23,323,rathfr02
295,Mark Redman,-,-,F,2,2007,2008,0,4,5,.444,6.23,15,12,1,0,0,0,65.0,82,48,45,9,22,2,34,1,1,1,295,76,redmama01
296,Steve Reed,-,-,-,7,1993,2004,0,33,29,.532,3.63,461,0,110,0,0,15,499.0,466,223,201,67,166,22,352,36,4,5,2092,140,reedst01
297,Steven Register,S,-,-,1,2008,2008,0,0,0,,9.00,10,0,5,0,0,0,10.0,13,10,10,4,6,1,8,0,0,0,49,54,regisst01
298,Bryan Rekar,S,-,-,3,1995,1997,0,7,10,.412,6.54,31,27,0,1,0,0,152.2,193,119,111,25,56,3,89,8,2,7,710,81,rekarbr01
299,Dennys Reyes,-,-,-,1,2002,2002,0,0,1,.000,4.24,43,0,13,0,0,0,40.1,43,19,19,1,24,3,30,0,0,4,182,113,reyesde01
300,Greg Reynolds,S,-,-,2,2008,2011,0,5,8,.385,7.47,27,16,3,0,0,0,94.0,123,80,78,20,36,5,40,5,0,3,438,63,reynogr01
301,Mark Reynolds,-,-,F,1,2019,2019,0,0,0,,18.00,1,0,1,0,0,0,1.0,2,2,2,0,1,0,0,1,0,0,7,37,reynoma01
302,Matt Reynolds,S,-,-,3,2010,2012,0,5,3,.625,3.93,165,0,27,0,0,0,126.0,123,59,55,23,40,9,118,2,3,11,530,118,reynoma02
303,Armando Reynoso,-,-,-,4,1993,1996,0,30,31,.492,4.65,89,87,0,5,0,0,503.0,571,289,260,66,170,11,270,29,11,15,2207,109,reynoar02
304,Juan Rincón,-,-,F,2,2009,2010,0,3,2,.600,7.31,28,0,2,0,0,0,28.1,21,24,23,2,22,4,28,1,0,1,127,66,rincoju01
305,Kevin Ritz,-,-,F,5,1994,1998,0,39,38,.506,5.20,101,98,3,3,0,2,576.1,654,358,333,62,253,13,337,24,2,30,2576,100,ritzke01
306,Joe Roa,-,-,-,1,2003,2003,0,0,0,,4.05,4,0,3,0,0,0,6.2,7,3,3,2,0,0,4,0,0,0,26,128,roajo01
307,Kenny Roberts,S,-,-,1,2015,2015,0,0,1,.000,5.79,9,0,3,0,0,0,9.1,13,6,6,0,2,0,5,1,0,0,43,83,roberke02
308,Josh Roenicke,-,-,-,2,2011,2012,0,4,2,.667,3.33,82,0,20,0,0,1,105.1,99,47,39,10,50,4,66,3,0,9,451,139,roenijo01
309,Esmil Rogers,S,-,-,4,2009,2012,0,8,11,.421,6.77,70,22,12,0,0,0,184.2,243,149,139,21,93,9,161,13,3,15,884,68,rogeres01
310,Josh Rogers,-,-,F,1,2024,2024,0,2,0,1.000,6.55,6,0,2,0,0,0,11.0,15,8,8,1,3,1,3,2,0,0,50,72,rogerjo01
311,J.C. Romero,-,-,-,1,2011,2011,0,1,0,1.000,4.32,12,0,2,0,0,0,8.1,12,7,4,1,3,0,9,0,0,0,41,109,romerj.01
312,Jorge Rondon,-,-,-,1,2015,2015,0,0,0,,90.00,2,0,1,0,0,0,1.0,8,11,10,0,3,0,1,0,0,0,15,7,rondojo01
313,Brian Rose,-,-,-,1,2000,2000,0,4,5,.444,5.51,12,12,0,0,0,0,63.2,72,41,39,10,30,6,40,3,1,2,293,106,rosebr01
314,Zac Rosscup,-,-,F,2,2017,2021,0,0,0,,4.50,13,0,6,0,0,0,10.0,12,5,5,3,1,0,14,1,0,0,43,117,rosscza01
315,Bruce Ruffin,-,-,F,5,1993,1997,0,17,18,.486,3.84,246,12,137,0,0,60,321.0,299,157,137,25,165,15,319,2,0,26,1405,131,ruffibr01
316,Glendon Rusch,-,-,F,2,2008,2009,0,6,3,.667,5.23,34,9,4,0,0,0,82.2,107,50,48,11,17,4,56,0,0,1,367,90,ruschgl01
317,Chris Rusin,-,-,-,5,2015,2019,0,16,19,.457,4.52,164,29,19,2,1,2,356.2,388,201,179,41,110,9,273,11,4,14,1534,106,rusinch01
318,Bret Saberhagen,-,-,-,1,1995,1995,0,2,1,.667,6.28,9,9,0,0,0,0,43.0,60,33,30,8,13,1,29,5,0,1,206,86,saberbr01
319,A.J. Sager,-,-,-,1,1995,1995,0,0,0,,7.36,10,0,2,0,0,0,14.2,19,16,12,1,7,1,10,0,0,0,70,74,sagera.01
320,Mike Saipe,S,C,F,1,1998,1998,0,0,1,.000,10.80,2,2,0,0,0,0,10.0,22,12,12,5,0,0,2,2,0,0,54,49,saipemi01
321,Jesús Sánchez,-,-,-,1,2003,2003,0,0,0,,9.00,9,0,4,0,0,0,8.0,11,8,8,1,4,2,2,0,0,1,38,57,sanchje01
322,Jonathan Sánchez,-,-,-,1,2012,2012,0,0,3,.000,9.53,3,3,0,0,0,0,11.1,17,13,12,3,9,1,9,0,0,2,57,50,sanchjo01
323,Mo Sanford,-,-,-,1,1993,1993,0,1,2,.333,5.30,11,6,1,0,0,0,35.2,37,25,21,4,27,0,36,0,1,2,166,91,sanfomo01
324,Antonio Santos,S,C,F,2,2020,2021,0,0,2,.000,8.83,10,1,4,0,0,0,17.1,23,18,17,2,9,0,14,2,1,2,81,58,santoan02
325,Víctor Santos,-,-,-,1,2002,2002,0,0,4,.000,10.38,24,2,6,0,0,0,26.0,41,30,30,3,22,3,25,0,0,2,140,47,santovi01
326,Rob Scahill,S,-,-,3,2012,2014,0,2,0,1.000,4.42,41,0,12,0,0,0,57.0,64,28,28,8,21,3,35,5,0,1,254,102,scahiro01
